,0,1
192,7,189
193,7,192
194,7,212
195,7,216
196,7,235
197,7,241
198,7,252
199,7,265
200,7,271
201,7,272
202,7,284
203,7,303
204,7,304
205,7,319
206,7,361
207,7,367
208,7,374
209,7,393
210,7,395
211,7,417
212,8,2
213,8,33
214,8,39
215,8,53
216,8,84
217,8,118
218,8,121
219,8,136
220,8,141
221,8,146
222,8,150
223,8,163
224,8,186
225,8,189
226,8,212
227,8,216
228,8,235
229,8,241
230,8,252
231,8,271
232,8,272
233,8,284
234,8,303
235,8,304
236,8,319
237,8,358
238,8,361
239,8,367
240,8,374
241,8,393
242,8,395
243,8,408
244,8,417
245,9,2
246,9,33
247,9,39
248,9,53
249,9,84
250,9,118
251,9,121
252,9,136
253,9,141
254,9,146
255,9,150
256,9,163
257,9,186
258,9,189
259,9,212
260,9,216
261,9,235
262,9,241
263,9,252
264,9,271
265,9,272
266,9,284
267,9,303
268,9,304
269,9,319
270,9,358
271,9,361
272,9,367
273,9,374
274,9,393
275,9,395
276,9,417
277,10,2
278,10,33
279,10,39
280,10,53
281,10,84
282,10,118
283,10,121
284,10,131
285,10,136
286,10,141
287,10,146
288,10,150
289,10,163
290,10,186
291,10,189
292,10,212
293,10,216
294,10,235
295,10,241
296,10,252
297,10,271
298,10,272
299,10,284
300,10,291
301,10,303
302,10,304
303,10,312
304,10,319
305,10,345
306,10,346
307,10,361
308,10,367
309,10,374
310,10,393
311,10,395
312,10,417
313,11,2
314,11,33
315,11,39
316,11,53
317,11,84
318,11,118
319,11,121
320,11,136
321,11,141
322,11,146
323,11,150
324,11,163
325,11,186
326,11,189
327,11,212
328,11,216
329,11,235
330,11,241
331,11,252
332,11,271
333,11,272
334,11,284
335,11,291
336,11,303
337,11,304
338,11,312
339,11,319
340,11,345
341,11,346
342,11,361
343,11,367
344,11,374
345,11,393
346,11,395
347,11,417
348,11,425
349,12,0
350,12,2
351,12,4
352,12,27
353,12,33
354,12,47
355,12,62
356,12,66
357,12,70
358,12,80
359,12,84
360,12,89
361,12,94
362,12,104
363,12,110
364,12,131
365,12,136
366,12,146
367,12,151
368,12,152
369,12,157
370,12,159
371,12,163
372,12,186
373,12,188
374,12,189
375,12,193
376,12,207
377,12,216
378,12,232
379,12,235
380,12,238
381,12,252
382,12,261
383,12,272
384,12,288
385,12,291
386,12,304
387,12,312
388,12,319
389,12,326
390,12,328
391,12,342
392,12,345
393,12,346
394,12,349
395,12,364
396,12,367
397,12,386
398,12,395
399,12,417
400,13,0
401,13,2
402,13,27
403,13,33
404,13,47
405,13,62
406,13,66
407,13,70
408,13,80
409,13,84
410,13,89
411,13,94
412,13,104
413,13,110
414,13,131
415,13,136
416,13,146
417,13,151
418,13,152
419,13,157
420,13,159
421,13,163
422,13,186
423,13,188
424,13,189
425,13,193
426,13,207
427,13,216
428,13,232
429,13,235
430,13,238
431,13,252
432,13,261
433,13,272
434,13,291
435,13,304
436,13,312
437,13,319
438,13,326
439,13,328
440,13,341
441,13,342
442,13,345
443,13,346
444,13,349
445,13,367
446,13,386
447,13,395
448,13,417
449,14,2
450,14,47
451,14,66
452,14,84
453,14,131
454,14,136
455,14,146
456,14,163
457,14,186
458,14,189
459,14,216
460,14,232
461,14,235
462,14,252
463,14,261
464,14,272
465,14,291
466,14,304
467,14,312
468,14,319
469,14,326
470,14,345
471,14,346
472,14,395
473,14,417
474,15,2
475,15,47
476,15,66
477,15,84
478,15,131
479,15,136
480,15,146
481,15,163
482,15,186
483,15,189
484,15,216
485,15,232
486,15,235
487,15,252
488,15,261
489,15,272
490,15,291
491,15,304
492,15,312
493,15,319
494,15,326
495,15,345
496,15,346
497,15,395
498,15,412
499,15,417
500,16,66
501,16,84
502,16,131
503,16,136
504,16,146
505,16,163
506,16,186
507,16,189
508,16,216
509,16,232
510,16,235
511,16,252
512,16,261
513,16,272
514,16,291
515,16,312
516,16,319
517,16,345
518,16,346
519,16,367
520,16,395
521,17,47
522,17,48
523,17,66
524,17,84
525,17,131
526,17,136
527,17,163
528,17,186
529,17,189
530,17,216
531,17,232
532,17,235
533,17,241
534,17,252
535,17,259
536,17,261
537,17,272
538,17,304
539,17,319
