Reed;47;43;48;NY
Katko;54;61;80;NY
Morelle;100;nan;nan;NY
Higgins;100;100;100;NY
Jacobs;nan;nan;nan;NY
Butterfield;88;82;84;NC
Holding;0;0;0;NC
Murphy;nan;nan;nan;NC
Price;100;100;100;NC
Foxx;0;0;0;NC
Walker;0;0;0;NC
Rouzer;0;0;0;NC
Hudson;0;0;0;NC
Bushop;nan;nan;nan;NC
McHenry;0;0;0;NC
Adams;100;100;100;NC
Budd;0;0;nan;NC
Armstrong;0;nan;nan;ND
Chabot;0;0;0;OH
Wenstrup;0;0;0;OH
Beatty;100;100;100;OH
Jordan;0;0;0;OH
Latta;0;0;0;OH
Johnson Jr.;0;0;0;OH
Gibbs;0;0;0;OH
Davidson;0;0;nan;OH
Kaptur;97;100;96;OH
Turner;9;15;0;OH
Fudge;100;88;92;OH
Balderson;7;nan;nan;OH
Ryan;100;100;100;OH
Joyce;7;18;16;OH
Stivers;28;0;0;OH
Gonzalez;7;nan;nan;OH
Hern;0;nan;nan;OK
Mullin;0;0;0;OK
Lucas;0;0;0;OK
Cole;7;0;0;OK
Horn;88;nan;nan;OK
Bonamici;100;100;100;OR
Walden;47;0;32;OR
Blumenauer;100;100;100;OR
DeFazio;100;100;100;OR
Schrader;97;100;100;OR
Fitzpatrick;71;61;nan;PA
Boyle;100;100;100;PA
Evans;100;100;nan;PA
Dean;100;nan;nan;PA
Scanlon;100;nan;nan;PA
Houlahan;100;nan;nan;PA
Wild;100;nan;nan;PA
Cartwright;100;100;100;PA
Meuser;0;nan;nan;PA
Perry;0;0;0;PA
Smucker;0;0;nan;PA
Keller;0;nan;nan;PA
Joyce;0;nan;nan;PA
Reschenthaler;0;nan;nan;PA
Thompson;0;0;0;PA
Kelly;0;0;0;PA
Lamb;94;93;nan;PA
Doyle;100;100;100;PA
Cicilline;100;100;100;RI
Langevin;100;100;100;Ri
Cunningham;88;nan;nan;SC
Wilson;0;0;0;SC
Duncan;0;0;0;SC
Timmons;0;nan;nan;SC
Norman;0;0;nan;SC
Clyburn;100;85;84;SC
Rice;0;0;0;SC
Johnson;0;nan;nan;SD
Roe;0;0;0;TN
Burchett;9;nan;nan;TN
Fleischmann;0;0;0;TN
DesJarlais;0;0;0;TN
Cooper;100;94;92;TN
Rose;0;nan;nan;TN
Green;0;nan;nan;TN
Kustoff;0;0;nan;TN
Cohen;100;100;100;TN
Gohmert;0;0;0;TX
Crenshaw;0;nan;nan;TX
Taylor;0;nan;nan;TX
Gooden;0;nan;nan;TX
Wright;0;nan;nan;TX
Fletcher;94;nan;nan;TX
Brady;0;0;0;TX
Green;100;91;96;TX
McCaul;7;0;0;TX
Conaway;0;0;0;TX
Granger;0;0;0;TX
Thornberry;0;0;0;TX
Weber;0;0;0;TX
Gonzales;88;85;nan;TX
Escobar;100;nan;nan;TX
Flores;0;0;0;TX
Jackson Lee;100;100;100;TX
Arrington;0;0;nan;TX
Castro;100;100;100;TX
Roy;0;nan;nan;TX
Olson;7;0;0;TX
Hurd;58;30;48;TX
Marchant;8;0;0;TX
Williams;7;0;0;TX
Burgess;0;0;0;TX
Cloud;0;nan;nan;TX
Cuellar;75;85;64;TX
Garcia;100;nan;nan;TX
Johnson;100;88;95;TX
Carter;7;0;0;TX
Allred;97;nan;nan;TX
Veasey;100;97;100;TX
Vela;100;100;92;TX
Doggett;100;100;100;TX
Babin;0;0;0;TX
Bishop;0;0;0;UT
Stewart;3;0;0;UT
Curtis;0;0;nan;UT
McAdams;81;nan;nan;UT
Welch;100;100;100;VT
Wittman;0;0;0;VA
Luria;91;nan;nan;VA
Scott;97;97;100;VA
McEachin;100;100;nan;VA
Riggleman;0;nan;nan;VA
Cline;0;nan;nan;VA
Spanberger;100;nan;nan;VA
Beyer;100;100;100;VA
Griffith;0;0;0;VA
Wexton;100;nan;nan;VA
Connolly;100;100;100;VA
DelBene;100;100;100;WA
Larsen;100;100;100;WA
Herrera;8;15;nan;WA
Newhouse;7;0;16;WA
McMorris Rodgers;0;0;0;WA
Kilmer;100;100;100;WA
